order_id,order_date,customer_id,product_id,quantity,selling_price,discount_amount,payment_type,shipping_cost,delivery_date,order_net_value,city,state,signup_date,acquisition_channel,category,sub_category,cost_price,supplier,return_id,return_date,return_reason,refund_amount,refund_processed_days,net_revenue,gross_revenue,discount_pct,order_value,total_cost,gross_profit,profit_margin_pct,return_flag,return_loss,refund_delay_flag,total_orders,total_return,total_revenue,total_profit,customer_return_rate,product_orders,product_returns,product_profit,product_return_rate
1,2024-01-16,816,436,1,2683.2,134.16,Prepaid,46,2024-01-23,2549.04,Chennai,WB,2023-08-12,Organic,Fashion,Jacket,1742,Supplier_48,,,,,,2549.04,2683.2,0.05,2549.04,1742,761.04,0.2985594576781847,0,0.0,0,8,1,39150.52,9178.519999999999,0.125,48,10,41823.42999999999,0.20833333333333334
2,2024-01-28,6802,975,3,1736.79,173.68,COD,141,2024-01-31,1563.11,Kolkata,MH,2023-05-11,Facebook Ads,Beauty,Haircare,1029,Supplier_31,,,,,,1563.11,5210.37,0.10000057577484901,4689.33,3087,1461.33,0.31162874013984937,0,0.0,0,4,1,28405.11,5359.11,0.25,43,7,27090.31,0.16279069767441862
3,2024-02-04,4081,694,1,6206.47,1241.29,COD,132,2024-02-06,4965.18,Pune,DL,2023-04-12,Google Ads,Home,Lamp,3701,Supplier_33,,,,,,4965.18,6206.47,0.19999935551126485,4965.18,3701,1132.1800000000003,0.22802395884942747,0,0.0,0,8,2,50701.04,10939.040000000003,0.25,59,13,149114.96,0.22033898305084745
4,2024-12-13,220,48,3,2296.84,0.0,Prepaid,156,2024-12-18,2296.84,Pune,TS,2023-03-03,Facebook Ads,Electronics,Mobile,1541,Supplier_44,10625.0,2024-12-24,Wrong Product,2296.84,4.0,2296.84,6890.52,0.0,6890.52,4623,2111.5200000000004,0.30643841103429065,1,2452.84,0,8,3,26964.989999999998,6683.99,0.375,42,9,38748.47,0.21428571428571427
5,2024-04-01,3135,556,1,4247.21,424.72,COD,142,2024-04-07,3822.49,Delhi,KA,2023-07-16,Referral,Home,Mixer,2524,Supplier_23,1667.0,2024-04-11,Size Issue,3822.49,4.0,3822.49,4247.21,0.09999976455131722,3822.49,2524,1156.4899999999998,0.3025488621291357,1,3964.49,0,14,6,76756.11,23129.109999999997,0.42857142857142855,53,12,84999.64,0.22641509433962265
6,2024-11-05,5565,257,3,2392.18,119.61,UPI,64,2024-11-08,2272.5699999999997,Ahmedabad,MH,2023-08-26,Facebook Ads,Fashion,Shirt,1422,Supplier_21,,,,,,2272.5699999999997,7176.539999999999,0.05000041802874366,6817.709999999999,4266,2487.709999999999,0.36488938367868384,0,0.0,0,10,4,74788.95999999999,12879.959999999995,0.4,59,16,51485.34,0.2711864406779661
7,2024-06-16,1252,752,1,5584.36,558.44,Prepaid,73,2024-06-23,5025.92,Kolkata,WB,2023-11-14,Instagram,Beauty,Skincare,3924,Supplier_32,,,,,,5025.92,5584.36,0.10000071628619933,5025.92,3924,1028.92,0.20472271743282822,0,0.0,0,7,3,29391.55,7333.55,0.42857142857142855,58,13,144675.65,0.22413793103448276
8,2024-06-04,5096,517,3,4142.98,207.15,Prepaid,150,2024-06-09,3935.8299999999995,Hyderabad,WB,2023-04-11,Facebook Ads,Home,Mixer,3075,Supplier_32,,,,,,3935.8299999999995,12428.939999999999,0.05000024137215242,11807.489999999998,9225,2432.489999999998,0.2060124548062288,0,0.0,0,5,1,43434.22,9222.219999999998,0.2,57,17,125155.12000000001,0.2982456140350877
9,2024-11-15,790,368,3,5164.16,0.0,Prepaid,145,2024-11-22,5164.16,Pune,GJ,2023-08-08,Instagram,Fashion,Jeans,3306,Supplier_42,,,,,,5164.16,15492.48,0.0,15492.48,9918,5429.48,0.3504590614285124,0,0.0,0,6,0,42739.61,9003.609999999997,0.0,55,12,126518.3,0.21818181818181817
10,2024-02-09,5416,166,1,8141.44,1628.29,Prepaid,111,2024-02-15,6513.15,Pune,KA,2023-11-07,Instagram,Electronics,Headphones,4913,Supplier_12,,,,,,6513.15,8141.44,0.200000245656788,6513.15,4913,1489.1499999999996,0.2286374488534733,0,0.0,0,8,0,43193.67,9841.67,0.0,59,9,204130.8,0.15254237288135594
11,2024-09-23,6288,270,1,2643.58,528.72,UPI,126,2024-09-28,2114.8599999999997,Pune,DL,2023-11-17,Google Ads,Fashion,Shirt,1807,Supplier_50,,,,,,2114.8599999999997,2643.58,0.20000151309966033,2114.8599999999997,1807,181.85999999999967,0.08599150771209428,0,0.0,0,10,2,76998.39,15371.39,0.2,56,15,66433.95,0.26785714285714285
12,2024-09-09,6495,791,1,2025.81,405.16,COD,111,2024-09-14,1620.6499999999999,Bangalore,MH,2023-07-29,Google Ads,Beauty,Skincare,1277,Supplier_20,,,,,,1620.6499999999999,2025.81,0.1999990127405828,1620.6499999999999,1277,232.64999999999986,0.1435535124795606,0,0.0,0,7,2,42384.020000000004,12242.02,0.2857142857142857,47,11,33362.57,0.23404255319148937
13,2024-08-26,1655,913,1,5603.71,280.19,Prepaid,148,2024-08-31,5323.52,Delhi,DL,2023-04-21,Organic,Beauty,Perfume,4150,Supplier_25,,,,,,5323.52,5603.71,0.05000080303941496,5323.52,4150,1025.5200000000004,0.19263945660014434,0,0.0,0,6,1,52759.619999999995,13138.619999999999,0.16666666666666666,55,5,164728.07,0.09090909090909091
14,2024-05-30,5424,700,3,1217.56,243.51,COD,60,2024-06-05,974.05,Pune,GJ,2023-08-31,Facebook Ads,Home,Lamp,713,Supplier_38,,,,,,974.05,3652.68,0.19999835737047866,2922.1499999999996,2139,723.1499999999996,0.24747189569323946,0,0.0,0,9,2,48243.82,11140.819999999998,0.2222222222222222,56,14,23757.44,0.25
